en_term;en_desc;vi_term;vi_desc
SOURCE DOCUMENTS;;Chứng từ gốc;

Quotation;A document from supplier stating (công bố) the fixed price that would be charged to produce or deliver goods or services.; Bảng báo giá; Là một tài liệu từ nhà sản xuất công bố giá cố địng sẽ được tình vào giá sản phẩm, hàng hoá hoặc dịch vụ

Purchase order;A document that shows details goods or services which the company would like to purchase from another company. Purchase orders are normally sequentially numbered (đánh số liên tục).; Đơn đặt hàng nhà cung cấp; Là một tài liệu cho biết về chi tiết hàng hoá hoặc dịch vụ mà công ty muốn mua từ công ty khác. Các đơn đặt hàng thường được đánh số liên tục

Sales order;A document that shows details of an order placed by a customer for goods or services. It's normally sequentially numbered.; Đơn đặt hàng người mua; Là một tài liệu cho biết chi tiết đơn đạt hàng của khách hàng đối với hàng hóa hoạc dịch vụ. nó thường được đánh số liên tục

Goods received note;A document that lists the goods which a business has received from a supplier.; Phiếu nhập kho; là ộmt tài liệu liệt kê các hàng hóa mà cty đã nhận được từ nhà cung cấp

Goods dispatched note =Delivery note;A document that lists the goods that the company has delivered to a customer.; Phiếu giao hàng; Là một tài liệu liệt kê các hàng hóa của cty đã giao cho khách hàng

Invoice;A demand for payment. It can be used for other purposes.; Hóa đơn; là một yêu cầu thanh toán. Nó có thể được sử dụng cho các mục đích khác

Statement;A document sent out to a customer detailing the transactions on the customer's account. (VD: Bank Statement- Sao kê Ngân hàng).; Bảng báo cáo; Là một tài liệu đã gửi đi cho một khách hàng liệt kê các giao dịch trên tài khoảng của khách hàng

Credit note;A document sent to a customer in respect of (đặc biệt về) goods returned or over-payments made by the customer.; Giấp báo có; Là một tài liệu đã gửi đến khách hàng đặt biệt về các hàng hóa trả lại hoặc qua các khoản thanh toán của khách hàng

Debit note;It is normally a request for the suppliers to issue a credit note.; Giấy báo nợ; Nó thường là một yêu cầu cho các nhà cung cấp phát hành một bảng ghi chú tín dụng

Receipt;A document confirming that a payment has been received.; Phiếu thu or Giấy biên nhận; Là một tài liệu xác nhận rằng một khoản thanh toán đã được nhận

Remittance Advice;A document sent to a supplier together with a payment advising the being paid invoices and which credit notes offset.; Phiếu báo thanh toán; Là một tài liệu được gửi đến một nhà cung cấp cùng với một khoản thanh toán tư vấn cho các hóa đơn đã thanh toán và có ghi chú tín dụng bù đắp.

Target semideviation;The average squared deviation below a target value.; Bán lệch mục tiêu; Là trung bình độ lệch bình phương nằm dưới giá trị mục tiêu.

Tactical asset allocation;The decision to deliberately deviate from the strategic asset allocation in an attempt to add value based on forecasts of the near-term r...elative performance of asset classes.; Phân bổ tài sản chiến thuật; Quyết định có chủ ý, không tuân theo phân bổ tài sản chiến lược, với nỗ lực tăng thêm giá trị dựa trên những dự báo về kết quả hoạt động ấn tượng của các loại tài sản trong ngắn hạn.

Variation margin;Additional margin that must be deposited in an amount sufficient to bring the balance up to the initial margin requirement.; số dư biến đổi; Số dư biến đổi: là số dư phải nộp thêm vào tài khoản để đưa số dư về mức số dư quy định ban đầu

Valuation ratios;Ratios that measure the quantity of an asset or flow (e.g., earnings) in relation to the price associated with a specified claim (e.g., a share or ownership of the enterprise).; Nhóm chỉ số định giá; Là nhóm chỉ số đo lường các giá trị của tài sản hoặc dòng tiền (như thu nhập) trong mối quan hệ đi kèm với giá của cổ phiếu hoặc giá trị doanh nghiệp.

Value at risk (VaR);A money measure of the minimum value of losses expected during a specified time period at a given level of probability.; Giá trị chịu rủi ro; Là cách đo lường bằng tiền giá trị nhỏ nhất thua lỗ kỳ vọng trong một khoảng thời gian ở xác suất cho trước.

Valuation;The process of determining the value of an asset or service.; Định giá; Là quá trình xác định giá trị của một loại tài sản hoặc dịch vụ..

Valuation allowance;A reserve created against deferred tax assets, based on the likelihood of realizing the deferred tax assets in future accounting periods.;Dự phòng định giá;Là khoản dự phòng cho tài sản thuế thu nhập hoãn lại dựa trên đánh giá khả năng tài sản thuế thu nhập hoãn lại sẽ được ghi nhận trong các kỳ kế toán tương lai.

Validity instructions;Instructions which indicate when the order may be filled.; Hướng dẫn hiệu lực; Là loại hướng dẫn thực hiện giao dịch ở thời điểm nào thì thích hợp.

Wealth effect;An increase/decrease in household wealth increases/decreases consumer spending out of a given level of current income.; Hiệu ứng thu nhập; Thu nhập hộ gia đình tăng/giảm kéo theo tiêu dùng cá nhân tăng/giảm ở mức thu nhập hiện tại cho trước

Working capital;The difference between current assets and current liabilities.; Vốn lưu động;bằng tài sản ngắn hạn trừ nợ ngắn hạn.

Working capital management;The management of a company's short-term assets (such... as inventory) and short-term liabilities (such as money owed to suppliers).; Quản lý vốn lưu động; Là việc quản trị tài sản ngắn hạn như hàng tồn kho và các khoản nợ ngắn hạn như phải trả người bán.

Wholesale price index;Reflects the price changes experienced by domestic producers in a country.; Chỉ số giá bán sỉ; Là chỉ số phản ánh sự thay đổi của giá đối với các nhà sản xuất trong nước của 1 quốc gia.

Weight average cost of capital;A weighted average of the after-tax required rates of return on a company's common stock, preferred stock, and long-term debt, where the weights are the fraction of each source of financing in the company's target capital structure.; Chi phí vốn bình quân gia quyền; Là chi phí bình quân gia quyền của suất sinh lợi sau thuế đối với cổ phiếu phổ thông, cổ phiếu ưu đãi, và nợ dài hạn, trong đó trọng số của từng loại vốn là tỷ lệ mục tiêu trong cấu trúc vốn của công ty.

Weighted average cost method;An inventory accounting method that averages the total cost of available inventory items over the total units available for sale.; Phương pháp khấu hao bình quân; Là phương phương khấu hao phân bổ chi phí bình quân của tất cả hàng tồn kho sẵn có cho tổng số đơn vị hàng tồn kho.

Yield to maturity;The annual return that an investor earns on a bond if the investor purchases the bond today and holds it until maturity.; Lãi suất trái phiếu đến đáo hạn; Là lãi suất hằng năm nhà đầu tư nhận được từ trái phiếu nếu nhà đầu tư mua trái phiếu ngày hôm nay và giữ nó cho đến lúc đáo hạn.

Official policy rate;An interest rate that a central bank sets and announces publicly, normally the rate at which it is willing to lend money to the commercial banks.; Lãi suất chính thức; Là lãi suất do ngân hàng trung ương ban hành và thông báo công khai, thông thường là mức lãi suất ngân hàng trung ưng sẵn sàng cho vay tiền đến ngân hàng thương mại.

Yield spread;The difference between the yield on a bond and the yield on a default-free security, usually a government note, of the same maturity. The yield spread is primarily determined by the market's perception of the credit risk on the bond.; Chênh lệch lãi suất trái phiếu; Là sự khác biệt giữa lãi suất của một trái phiếu thông thường và lãi suất của trái phiếu chính phủ có cùng thời gian đáo hạn. Chênh lệch trái tức được xác định trước tiên bởi kỳ vọng của thị trường về rủi ro tín nhiệm của trái phiếu.

Target balance;A minimum level of cash to be held available - estimated in advance and adjusted for known funds transfers, seasonality, or other factors.; Cân bằng mục tiêu; Là lượng tiền tối thiểu cần có sẵn, được ước tính trước và điều chỉnh trong trường hợp chuyển vốn, thời vụ hoặc các yếu tố khác.

Target capital structure;A company's chosen proportions of debt and equity.; Cấu trúc vốn mục tiêu; Là sự lựa chọn của công ty khi phân bổ tỷ lệ nợ và vốn chủ sở hữu.

Target independent;A bank's ability to determine the definition of inflation that they target, the rate of inflation that they target, and the horizon over which the target is to be achieved.; Độc lập mục tiêu; Là khả năng của ngân hàng trung ương trong việc xác định lạm phát và tỷ lệ lạm phát mục tiêu, và thời gian cần thiết để mục tiêu cần thiết đó được thực hiện.
