en_term;en_desc;vi_term;vi_desc
Affiliate Marketing;;;"Affiliate marketing là hình thức Tiếp thị qua đại lý, là hình thức một Website liên kết với các site khác (đại lý) để bán sản phẩm/dịch vụ. Các Website đại lý sẽ được hưởng phần trăm dựa trên doanh số bán được hoặc số khách hàng chuyển tới cho Website gốc. Amazon.com là công ty đầu tiên đã thực hiện chương trình Affiliate Marketing và sau đó đã có hàng trăm công ty (Google, Yahoo, Paypal, Clickbank, Chitika, Infolinks, Godaddy, Hostgator…) áp dụng hình thức này để tăng doanh số bán hàng trên mạng.

Hiện tại ở VN chưa có doanh nghiệp nào áp dụng triệt để hình thức này, mới chỉ có Hotdeal.vn và Gymglish.vn ứng dụng ở mức thử nghiệm và chưa mang lại hiệu quả.
Nếu bạn là chủ sở hữu của một website, bạn có thể tham gia vào Chương trình Affiliate (Affiliate Program) để tăng thêm thu nhập thông qua việc giới thiệu khách hàng cho các doanh nghiệp cung cấp Affiliate."

Advertiser;;;Chỉ những nhà quảng cáo, các doanh nghiệp quảng cáo trên internet (Advertiser thường đi đôi với Publisher)

Ad Network – Advertising Network;;;Chỉ một mạng quảng cáo liên kết nhiều website lại và giúp nhà quảng cáo –  có thể đăng quảng cáo cùng lúc trên nhiều website khác nhau. Google, Chitika, Infolinks, Admax… là những ad networks lớn trên thế giới. Tại Việt Nam hiện có một số Ad networks như: Ambient, Innity, Admarket của Admicro…

Adwords – Google Adwords;;;Google Adwords là hệ thống quảng cáo của Google cho phép các nhà quảng cáo đặt quảng cáo trên trang kết quả tìm kiếm của Google hoặc các trang thuộc hệ thống mạng nội dung của Google. Google Adwords còn thường được gọi là Quảng cáo từ khoá, Quảng cáo tìm kiếm…

Adsense – Google Adsense;;;Google Adsense là một chương trình quảng cáo cho phép các nhà xuất bản website (publisher) tham gia vào mạng quảng cáo Google Adwords, đăng quảng cáo của Google trên website của mình và kiếm được thu nhập khi người dùng click/hoặc xem quảng cáo.

Analytics – Google Analytics;;;Là công cụ miễn phí cho phép cài đặt trên website để theo dõi các thông số về website, về người truy cập vào website đó. Thankiu sẽ có một bài viết chi tiết về các Thuật ngữ của Google Analytics

Banner;;;(Biểu ngữ) Banner là một ảnh đồ hoạ (có thể là tĩnh hoặc động) được đặt trên các trang web với chức năng là một công cụ quảng cáo.
Booking;;;Chỉ việc đặt mua chỗ đăng quảng cáo trên các trang mạng/hoặc đặt đăng bài PR trên báo điện tử

CTR – Click through Rate;;;Là tỷ lệ click chia số lần hiển thị của quảng cáo. Trong tất cả các hình thức quảng cáo trực tuyến thì quảng cáo qua công cụ tìm kiếm Google Adwords hiện có CTR cao nhất (trung bình khoảng 5%, cao có thể lên tới 50%), hình thức quảng cáo banner có CTR thấp, thậm chí chỉ đạt dc 0.01%.

CPA – Cost Per Action;;;CPA Là hình thức tính chi phí quảng cáo dựa trên số lượng khách hàng thực tế mua sản phẩm/điền form đăng ký/gọi điện/hay gửi email… sau khi họ thấy và tương tác với quảng cáo.

CPC – Cost Per Click;;;CPC Là hình thức tính chi phí quảng cáo dựa trên mỗi nhấp chuột vào quảng cáo. CPC đang là mô hình tính giá phổ biến nhất trong quảng cáo trực tuyến.
CPM – Cost Per Mile (Thousand Impressions)?;;; CPM Là hình thức tính chi phí dựa trên 1000 lần hiển thị của quảng cáo.

CPD – Cost Per Duration;;;CPD Là hình thức tính chi phí quảng cáo dựa trên thời gian đăng quảng cáo (1 ngày, 1 tuần, 1 tháng…). Hiện hình thức này chỉ còn tồn tại ở Việt Nam, các nước có ngành quảng cáo trực tuyến phát triển đã bỏ hình thức này từ rất lâu.

Contexual Advertising;;;Contextual Advertising là hình thức hiển thị quảng cáo dựa trên nội dung của trang web, hoặc dựa trên hành vi tìm kiếm của người dùng.

Click Fraud – Fraud Click;;;Click Fraud hay Fraud Click là những click gian lận có chủ ý xấu nhằm làm thiệt hại cho các nhà quảng cáo hoặc mang lại lợi ích không chính đáng cho người click. Fraud Click là một vấn nạn tại Việt Nam, chủ đề này thậm chí đã được BBC nhắc tới trong một bài viết nói về quảng cáo trực tuyến tại Việt Nam.

Content Networks;;;Content Networks là thuật ngữ nói đến hệ thống các trang web tham gia vào mạng quảng cáo Google Adsense nhằm mục tiêu tạo thu nhập khi đặt các quảng cáo của Google. Các Advertiser cũng có thể lựa chọn quảng cáo của mình xuất hiện trên Content Networks khi sử dụng hình thức quảng cáo Google Adwords.

Conversion – Conversion Rate;;;Conversion Rate là chỉ số thể hiện tỷ lệ khách hàng thực hiện một hành vi sau khi xem/click vào quảng cáo, hành vi đó có thể là mua hàng/điền vào form, gửi email liên hệ, gọi điện… Đây là chỉ số quan trọng đánh giá hiệu quả của chiến dịch quảng cáo, chỉ số này có thể cho biết được doanh nghiệp đã bỏ ra bao nhiêu chi phí để có được một khách hàng (hoặc 1 khách hàng tiềm năng).


Dimension;;;Kích thước của quảng cáo, theo tiêu chuẩn của IAB thì dưới đây là một số kích thước quảng cáo hiệu quả nhất: 336x280px, 300x250px, 728x90px, 160x600px

Doorway Page;;;Một trang web (chỉ một trang đơn lẻ) được xây dựng nhằm mục đích tối ưu để có được thứ hạng cao trong kết quả tìm kiếm với một số từ khoá nhất định. Thuật ngữ này thường được các đơn vị làm SEO áp dụng để triển khai SEO cho website của khách hàng.

Demographics;;;Thuộc tính nhân khẩu học của khách hàng được các doanh nghiệp sử dụng nhằm mục đích tiếp cận đúng đối tượng tiềm năng trong chiến dịch quảng cáo của họ. Các thuộc tính cơ bản như: Độ tuổi, Giới tính, Tình trạng hôn nhân, Thu nhập…

Display Advertising là gì;;; Display Advertising là thuật ngữ chỉ Quảng cáo hiển thị, là hình thức quảng cáo banner trên các báo điện tử, hay quảng cáo banner/rich media qua các mạng quảng cáo.

