en_term;en_desc;vi_term;vi_desc
Income statement;;Lãi lỗ;
Revenue deductions;;Các khoản giảm trừ;
Sales expenses;;Chi phí bán hàng;
Extraordinary expenses;;Chi phí bất thường;
Expenses for financial activities;;Chi phí hoạt động tài chính;
General and administrative expenses;;Chi phí quản lý doanh nghiệp;
Net revenue;;Doanh thu thuần;
Gross revenue;;Doanh thu tổng;
Cost of goods sold;;Giá vốn bán hàng;
Sales rebates;;Giảm giá bán hàng;
Sales returns;;Hàng bán bị trả lại;
Extraordinary profit;;Lợi nhuận bất thường;
Net profit;;Lợi nhuận thuần;
Gross profit;;Lợi nhuận tổng;
Profit before taxes;;Lợi nhuận trước thuế;
Operating profit;;Lợi nhuận từ hoạt động SXKD;
Profit from financial activities;;Lợi nhuận từ hoạt động tài chính;
Extraordinary income;;Thu nhập bất thường;
Income from financial activities;;Thu nhập hoạt động tài chính;
Income taxes;;Thuế thu nhập doanh nghiệp;
Balance sheet;;Bảng cân đối kế toán;
Assets;;Tài sản;
Long-term financial assets;;Các khoản đầu tư tài chính dài hạn;
Short-term investments;;Các khoản đầu tư tài chính ngắn hạn;
Receivables;;Các khoản phải thu;
Other receivables;;Các khoản phải thu khác;
Long-term mortgages, collateral, deposits;;Các khoản thế chấp, ký cược, ký quỹ dài hạn;
Short-term mortgages, collateral, deposits;;Các khoản thế chấp, ký cược, ký quỹ ngắn hạn;
Deferred expenses;;Chi phí chờ kết chuyển;
Work in progress;;Chi phí sản xuất kinh doanh dở dang;
Prepaid expenses;;Chi phí trả trước;
Construction in progress;;Chi phí xây dựng cơ bản dở dang;
Non-business expenditures;;Chi sự nghiệp;
Instruments and tools;;Công cụ, dụng cụ trong kho;
Long-term security investments;;Đầu tư chứng khoán dài hạn;
Short-term security investments;;Đầu tư chứng khoán ngắn hạn;
Other short-term investments;;Đầu tư ngắn hạn khác;
Provision for devaluation of stocks;;Dự phòng giảm giá hàng tồn kho;
Goods in transit for sale;;Hàng gửi đi bán;
Merchandise inventory;;Hàng hoá tồn kho;
Purchased goods in transit;;Hàng mua đang đi trên đường;
Inventory;;Hàng tồn kho;
Depreciation of fixed assets;;Hao mòn luỹ kế tài sản cố định hữu hình;
Depreciation of leased fixed assets;;Hao mòn luỹ kế tài sản cố định thuê tài chính;
Depreciation of intangible fixed assets;;Hoa mòn luỹ kế tài sản cố định vô hình;
Fixed asset costs;;Nguyên giá tài sản cố định hữu hình;
Leased fixed asset costs;;Nguyên giá tài sản cố định thuê tài chính;
Intangible fixed asset costs;;Nguyên giá tài sản cố định vô hình;
Raw materials;;Nguyên liệu, vật liệu tồn kho;
Receivables from customers;;Phải thu của khách hàng;
Advances to employees;;Tạm ứng;
Fixed assets;;Tài sản cố định;
Tangible fixed assets;;Tài sản cố định hữu hình;
Leased fixed assets;;Tài sản cố định thuê tài chính;
Non-current assets;;Tài sản cố định và đầu tư dài hạn;
Intangible fixed assets;;Tài sản cố định vô hình;
Other current assets;;Tài sản lưu động khác;
Current assets;;Tài sản lưu động và đầu tư ngắn hạn;
Finished goods;;Thành phẩm tồn kho;
Cash in transit;;Tiền đang chuyển;
Cash at bank;;Tiền gửi ngân hàng;
Cash;;Tiền mặt;
Cash in hand;;Tiền mặt tại quỹ;
Total assets;;Tổng cộng tài sản;
Advanced payments to suppliers;;Trả trước ngưòi bán;
Liabilities;;Nợ phải trả;
Accrued expenses;;Chi phí phải trả;
Deferred revenue;;Người mua trả tiền trước;
Long-term liabilities;;Nợ dài hạn;
Other long-term liabilities;;Nợ dài hạn khác;
Current portion of long-term liabilities;;Nợ dài hạn đến hạn trả;
Other payables;;Nợ khác;
Short-term liabilities;;Nợ ngắn hạn;
Intra-company payables;;Phải trả các đơn vị nội bộ;
Trade creditors;;Phải trả cho người bán;
Payables to employees;;Phải trả công nhân viên;
Surplus of assets awaiting resolution;;Tài sản thừa chờ xử lý;
Taxes and other payables to the State budget;;Thuế và các khoản phải nộp nhànước;
Long-term borrowings;;Vay dài hạn;
Short-term borrowings;;Vay ngắn hạn;
Owners' equity;;Nguồn vốn chủ sở hữu;
Exchange rate differences;;Chênh lệch tỷ giá;
Treasury stock;;Cổ phiếu quỹ;
Retained earnings;;Lợi nhuận chưa phân phối;
Other funds;;Nguồn kinh phí, quỹ khác;
Non-business expenditure source;;Nguồn kinh phí sự nghiệp;
Non-business expenditure source, current year;;Nguồn kinh phí sự nghiệp năm nay;
Non-business expenditure source, last year;;Nguồn kinh phí sự nghiệp năm trước;
Stockholders' equity;;Nguồn vốn kinh doanh;
Investment and development fund;;Quỹ đầu tư phát triển;
Reserve fund;;Quỹ dự trữ;
Welfare and reward fund;;Quỹ khen thưởng và phúc lợi;
Equity and funds;;Vốn và quỹ;
Total liabilities and owners' equity;;Tổng cộng nguồn vốn;
Financial ratios;;Chỉ số tài chính;
Figures in: millions VND;;Đơn vị tính: triệu đồng;
Financials;;Tài chính;
Capital;;vốn;
Capitalism;;chủ nghiã tư bản;
Classical school;;trường phái cổ điển;
New classical school;;trường phái tân cổ điển;
Distribution;;phân phối;
Redistribution;;tái phân phối ( dùng trong kt phát triển);
Promotion campaign;;chiến dịch tiếp thị;
Infrastructure;;cơ sở hạ tầng;
Asset;;tài sản;
Econometrics;;kinh tế lượng;
Growth;;tăng trưởng;
Poverty attack;;tấn công đói nghèo;
Human resources department;;bộ phận nhân sự;
Research and development department;;bột phận nghiên cứu phát triển;
Net profit;;lãi ròng;
Margin profit;;lãi biên;
fixed cost;;chi phí cố định;
constant price;;giá cố định ( để tính giá thực tế khi có lạm phát );
national account;;tài khoản quốc gia;
Millenium goals;;mục tiêu thiên niên kỷ;
Capital;;vốn;
Capitalism;;chủ nghiã tư bản;
Classical school;;trường phái cổ điển;
New classical school;;trường phái tân cổ điển;
Distribution;;phân phối;
Redistribution;;tái phân phối ( dùng trong kt phát triển);
Promotion campaign;;chiến dịch tiếp thị;
Infrastructure;;cơ sở hạ tầng;
Asset;;tài sản;
Econometrics;;kinh tế lượng;
Growth;;tăng trưởng;
Poverty attack;;tấn công đói nghèo;
Human resources department;;bộ phận nhân sự;
Research and development department;;bột phận nghiên cứu phát triển;
Net profit;;lãi ròng;
Margin profit;;lãi biên;
fixed cost;;chi phí cố định;
constant price;;giá cố định ( để tính giá thực tế khi có lạm phát );
national account;;tài khoản quốc gia;
Millenium goals;;mục tiêu thiên niên kỷ;
abstract an account;;lược kê kế toán;
accepted bill;;hối phiếu thụ nhận;
baby bond;;trái phiếu;
date a contract back;;dề ngày lùi một khế ước;
bills receivable;;phiếu khoán thu, hối phiếu cần thu khi đáo hạn;
work trade;;mậu dịch quốc tế;
yeild;;hoa lợi, lợi suất( maybe similar meaning with "profit");
sag;;sự sụt giá;
sagging of the market;;sự sa sút của thị trường;
Home/ Foreign maket;;thị trường trong nước/ ngoài nước;
Foreign currency;;ngoại tệ;
Circulation and distribution of commodity;;lưu thông phân phối hàng hoá;
price boom;;việc giá cả tăng vọt;
hoard/ hoarder;;tích trữ/ người tích trữ;
moderate price;;giá cả phải chăng;
monetary activities;;hoạt động tiền tệ;
speculation/ speculator;;đầu cơ/ người đầu cơ;
dumping;;bán phá giá;
economic blockade;;bao vây kinh tế;
guarantee;;bảo hành;
insurance;;bảo hiểm;
embargo;;cấm vận;
account holder;;chủ tài khoản;
