en_term;en_desc;vi_term;vi_desc
Accounting entry;;Bút toán;
accounting equation;A financial relationship at the heart of the accounting model: Assets = Liabilities + Owners' Equity;phương trình kế toán;Phản ánh mối quan hệ tài chính, là vấn đề cốt lõi  của mô hình kế toán: Tài sản = Nợ phải trả + Vốn chủ sở hữu
accounting;A set of concepts and techniques that are used to measure and report financial information about an economic unit.;kế toán;Một tập hợp các khái niệm và kỹ thuật được sử dụng để đo lường và báo cáo thông tin tài chính về một đơn vị kinh tế.
Accrued expenses;;Chi phí phải trả;
Accumulated;;Lũy kế;
Advance clearing transaction;;Quyết toán tạm ứng;
Advanced payments to suppliers;;Trả trước người bán;
Advances to employees;;Tạm ứng;
Appropriation of profit;;Phân phối lợi nhuận;
Assets liquidation;;Thanh lý tài sản;
Assets;;Tài sản;
assets;The economic resources owned by an entity, entailing probable future benefits to the entity;tài sản;Các nguồn lực kinh tế thuộc sở hữu của một tổ chức, có khả năng đem lại  lợi ích kinh tế trong tương lai cho các chủ thể.
auditing;The examination of transactions and systems that underlie an organization's financial statements;kiểm toán;Việc kiểm tra các giao dịch và hệ thống làm cơ sở cho báo cáo tài chính của một tổ chức
Authorized capital;;Vốn điều lệ;
Balance sheet;;Bảng cân đối kế toán;
balance sheet;A financial statement that presents a firm's assets, liabilities, and owners' equity at a particular point in time;Bảng cân đối kế toán;Một báo cáo trình bày tình hình tài sản của một công ty, công nợ và vốn chủ sở hữu của công ty đó tại một thời điểm cụ thể
Bookkeeper;;Người lập báo cáo;
Break-even point;;Điểm hòa vốn;
Business entity concept;;Nguyên tắc doanh nghiệp là một thực thể;
Business purchase;;Mua lại doanh nghiệp;
Called-up capital;;Vốn đã gọi;
Calls in arrear;;Vốn gọi trả sau;
Capital construction;;Xây dựng cơ bản;
Capital expenditure;;Chi phí đầu tư;
Capital redemption reserve;;Quỹ dự trữ bồi hoàn vốn cổ phần;
Capital;;Vốn;
Carriage inwards;;Chi phí vận chuyển hàng hóa mua;
Carriage outwards;;Chi phí vận chuyển hàng hóa bán;
Carriage;;Chi phí vận chuyển;
Carrying cost;;Chi phí bảo tồn hàng lưu kho;
Cash at bank;;Tiền gửi ngân hàng;
Cash book;;Sổ tiền mặt;
Cash discounts;;Chiết khấu tiền mặt;
Cash flow statement;;Bảng phân tích lưu chuyển tiền mặt;
Cash in hand;;Tiền mặt tại quỹ;
Cash in transit;;Tiền đang chuyển;
Cash;;Tiền mặt;
Category method;;Phương pháp chủng loại;
Causes of depreciation;;Các nguyên do tính khấu hao;
certified public accountant (CPA);An individual who is licensed by a state to practice public accounting;Kế toán viên công chứng (CPA);Một cá nhân được cấp chứng chỉ cấp nhà nước được hành nghề   kế toán công
Check and take over;;Nghiệm thu;
Cheques;;Sec (chi phiếu);
