en_term;en_desc;vi_term;vi_desc
Acceptance;;;Đây là một chiến lược trong tiến trình hoạch định phương án đối phó rủi ro. Khi sử dụng chiến lược này, tổ chức sẵn sàng chấp nhận các hậu quả mà rủi ro gây ra nếu nó xảy ra
Acceptance Criteria;;;Là những tiêu chuẩn bao gồm các yêu cầu trong quá trình thức hiện và các điều kiện phải được tuân thủ và hoàn thành trước khi bàn giao dự án được chấp thuận.
Acquire Project Team;; Có được nhóm dự án;Một quy trình nhằm mục đích xác nhận lại lực với bên bộ phận quản lý nguồn nhân lực rằng nguồn nhân lực cần thiết đã được bố trí đủ để hoàn thành dự án.
Activity;;;Một thành phần của công việc thực hiện trong quá trình của một dự án.
Activity Attributes;;; Nhiều thuộc tính với mổi thuộc tính được gán vào lịch trình công việc và có thể bao gồm trong bảng liệt kê Activities. Thuộc tính của Activity bao gồm: Mã Activity, Công việc trước đó, công việc sau đó, mối quan hệ, thời gian chéo nhau, yêu cầu về nguồn lực, ngày khả thi, các ràng buôc và các giả định.
Activity Code;;;Được tạo thành từ một hoặc nhiều ký tự, con số dùng để nhận biết đặt điểm công việc hoặc để phân loại lịch trình các Activities cho phép dễ dàng yêu cầu hoặc tìm kiếm Activities đó.
Activity definition;;;Đây là tiến trình xác định các công việc cần thiết để tạo nên sản phẩm hay dịch vụ của dự án
Activity duration;;;Thời gian cần thiết để hoàn thành một công việc
Activity Identifier;;;Là một ký tự hay con số dùng để nhận dạng được gán vào mổi Activity nhằm phân biệt giữa các Activities với nhau trong dự án. Thông thường nó duy nhất trong một sơ đồ dự án.
Activity list;;;đây là một dạng mở rộng của WBS, nó chứa tất cả các công việc của dự án và bản mô tả cho từng công việc. danh sách công việc là kết quả của tiến trình xác định cộng việc
Activity squence;;;sắp xếp công việc theo một trình tự logic và xác định xem thử liệu có mối quan hệ phụ thuộc giữa các công việc
Actual cost;;;là khoản chi phí thực tế đã phát sinh cho đến thời điểm xem xét, bao gồm cả chi phí trực tiếp và gián tiếp, thường được viết tắt là AC
Actual Duration;;; Là đơn vị thời gian lịch trình một activities giữa ngày bắt đầu thực tế của lịch trình công việc với ngày cập nhật (data date) của tiến độ dự án so được so sánh với ngày kết thúc của một activity. (Thời lượng thực tế (Actual Duration) còn được đo bằng đơn vị giờ, ngày, tháng, năm.))
Administer Procurements;;;Quá trình quản lý mối liên quan trong mua sắm, thực hiện hợp đồng giám sát và kiểm soát các thay đổi và chỉnh sửa khi cần thiết.
Alternative identification;;;là một kỹ thuật để phát hiện ra các phương pháp hay các cách thức khác để hoàn thành dự án. Đây là một công cụ trong tiến trình hoạch định phạm vi.
Analogous estimating;;;sử dụng dữ liệu của dự án đã hoàn tất trước đó để ước tính co dự án hiện tại
Application Area;; Lĩnh Vực Ứng Dụng;Một loại dự án có các thành phần tương tự phổ biến đáng kể xảy ra trong các dự án, nhưng không nhất thiết phải  hiện diện trong tất cả các sản phẩm. Lĩnh vực ứng dụng thường được xác định về sản phẩm (ví dụ, công nghệ tương tự hoặc các phương pháp sản xuất giống nhau) hoặc các loại khách hàng (ví dụ, hông tin nội bộ so với bên ngoài, chính phủ so với thương mại) hoặc trong các ngành công nghiệp (ví dụ như các tiện ích, ô tô, hàng không vũ trụ, thoặc các ngành công nghiệp công nghệ, vv). Các lĩnh vực ứng dụng có thể chồng chéo lên nhau.
Appraisal cost;;;là một loại chi phí chất lượng liên quan đến việc kiểm tra sản phẩm hay tiến trình để đảm bảo rằng đáp ứng được các yêu cầu của dự án
Approved Change Request;;; Một yêu cầu thay đổi đã được xử lý qua quy trình kiểm soát tích hợp sự thay đổi và được chấp thuận.
Assumptions;;;là các sự kiện hay điều kiện mà người lập kế hoạch tin rằng đúng, sẽ xảy ra. các giả định của dự án phải luôn được ghi lại bằng văn bản
Authority;;;Là quyền để  áp dụng quản lý nguồn lực của dự án, nền tảng ra quyết định, hoặc để phê duyệt một việc nào đó.
Avoidance;;;là một tong chiến lược đối phó rủi ro, chiến lược này đòi hỏi phải thay đổi kế hoạch dự án để tránh hoặc loại bỏ các sự kiện gây rủi ro và tác động của sự kiện này với mục tiêu dự án.
BAC;;;Là tổng của tất cả ngân sách đã dùng cho việc thực hiện công việc trong một dự án, hoặc WBS hay Activity. Nó cũng được xem như tổng giá trị kế hoạch cho dự án.
Backward pass;;;là một phép tính trong sơ đồ kỹ thuật mạng nhằm xác định các thời điểm bắt đầu muộn và kết thúc muộn của các sự kiện và công việc.
Balance matrix;;;là một hình thức tổ chức dự án trong đó quyền lực của nhà quản trị dự án và quyền lực của nhà quản trị chức năng được cân bằng
Baseline ;;;Là kế hoạch của dự án được chấp thuận, có thể chẩn nhận một sai số thêm vào hoặc bớt đi. Nó là cơ sở để so sánh quá trình thực hiện công việc so với kế hoặc đề ra với sai số cho phép. Thường được tham khảo so sánh với với baseline ở thời điểm hiện tại. Nhưng cũng có thể được so sánh với bản gốc. Thường được sử dụng với một vài sửa đổi (ví dụ, Đường cơ sở chi phí thực hiện, Đường cơ sở tiến độ , Đường cơ sởđo lường hiệu suất , Đường cơ sở kỹ thuật )
Baseline ;;;Kế hoạch gốc, kế hoạch đã được phê duyệt nhằm làm cơ sơ đo lường tiến triển của dự án, baseline thường là các kế hoạch bạn đầu về phạm vi, chi phí, thời gian…đã được phê duyệt trong các tiến trình hoạch định. Khi dự án thực hiện, người kiểm soát sẽ đo lường tình hình thực tế để đánh giá xem thực tế có tiến triển theo đúng kế hoạch hay không. Các thay đổi lớn về phạm vi, chi phí hay thời gian đôi khi đòi hỏi phải thay đổi baseline
Benchmarking;;;so sánh các công việc của dự án hiện tại với các công việc của dự án tương tự trước đó để đưa ra một tiêu chuẩn nhằm đánh giá tình hình thực hiện. công cụ này thường được dùng để cải thiện tình hình chất lượng trong dự án.
Bennefit measurement mehods;;;là một nhóm các phương pháp để lựa chọn dự án. các phương pháp này dùng nhiều cách tiếp cận để so sánh và phân tích nhằm đưa ra quyết định lựa chọn . nằm trong nhóm này gồm phương pháp: phân tích lợi nhuận/chi phí, mô hình cho điểm,…
Bottom-up Estimating;;Phương Pháp Ước Lượng Từ Dưới Lên;Một phương pháp ước lượng một thành phần của công việc. Công việc được chia nhỏ vào chi tiết hơn. Một ước tính từ những gì cần thiết để đáp ứng các yêu cầu của công viêc ở cấp độ nhỏ hơn, phần chi tiết hơn về công việc, và các ước tính này sau đó được tổng hợp thành một tổng số lượng cho thành phần công việc. Độ chính xác của dự toán từ dưới lên là dựa vào kích thước và độ phức tạp của công việc được xác định ở cấp thấp hơn và tổng hợp lên.
Brainstorming;;; Một tập hợp dữ liệu nói chung và kỹ thuật sáng tạo có thể được sử dụng để xác định các rủi ro, ý kiến, hoặc giải pháp cho các vấn đề bằng cách sử dụng một nhóm các thành viên trong nhóm hoặc các chuyên gia. Thông thường, một phiên làm việc động não có cấu trúc sao cho mỗi người tham gia ý tưởng được ghi lại để phân tích sau đó.
